종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가(원),상장주식수(주),상장시가총액(원)
060310,3S,2580,15.00,0.58,2585,2580,444417,1188152795,2555,2810,2500,500,40892268,1.05502E+11
054620,AP시스템,9690,100.00,1.04,9690,9680,454170,4413705670,9550,9910,9400,500,23409961,2.26843E+11
090470,AST젯텍,3900,-115.00,-2.86,3900,3890,110268,435286370,4015,4065,3800,500,14597808,56931451200
032040,C&S자산관리,6830,-450.00,-6.18,6890,6830,731434,5057814950,7330,7450,6640,2500,24771147,1.69187E+11
130960,CJ E&M,70000,200.00,0.29,70000,69900,241202,16872071900,68400,71400,68400,5000,38732089,2.71125E+12
035760,CJ오쇼핑,216800,0.00,0.00,216800,216300,44431,9484725300,215500,216800,210400,5000,6207268,1.34574E+12
051500,CJ프레시웨이,53600,-2100,-3.77,53700,53600,25841,1420375100,56800,56800,53500,1000,11321885,6.06853E+11
058820,CMG제약,1400,-25.00,-1.75,1405,1400,1438366,2043546385,1415,1455,1385,500,86626866,1.21278E+11
023460,CNH,1690,-45.00,-2.59,1690,1685,191168,327485985,1755,1755,1670,2500,37200000,62868000000
065770,CS,2330,-15.00,-0.64,2330,2325,16198,37944075,2410,2410,2240,500,12000000,27960000000
068790,DMS,6500,-400.00,-5.80,6500,6490,334170,2220685070,6740,6980,6430,500,19887423,1.29268E+11
037370,EG,16200,750.00,4.85,16200,16050,140102,2290949450,15450,16950,15400,1000,7500000,1.215E+11
079190,EMW,2300,40.00,1.77,2300,2290,11415,25978020,2315,2320,2235,500,18248363,41971234900
083450,GST,7900,-100.00,-1.25,7900,7880,264497,2139405380,8060,8380,7880,500,9317745,73610185500
028150,GS홈쇼핑,210200,-100.00,-0.05,210400,210200,23070,4849727600,208200,211200,208000,5000,6562500,1.37944E+12
053870,GT&T,1350,310.00,29.81,0,1350,4127423,5340773715,1100,1350,1090,500,8000000,10800000000
078150,HB테크놀러지,1190,0.00,0.00,1190,1185,256470,305041435,1200,1200,1180,500,76986271,91613662490
036640,HRS,4940,-270.00,-5.18,4940,4910,149063,736019640,5200,5240,4750,500,16354800,80792712000
204840,IBKS제2호스팩,2145,5.00,0.23,2145,2140,12335,26381905,2190,2190,2135,100,4500000,9652500000
095340,ISC,45600,3000,7.04,45650,45600,356069,15903993400,43150,46450,42000,500,11892676,5.42306E+11
099520,ITX시큐리티,2155,-25.00,-1.15,2160,2155,101595,218380040,2130,2190,2115,500,13213383,28474840365
067290,JW중외신약,6380,-60.00,-0.93,6400,6380,289639,1863315070,6440,6650,6300,500,39044958,2.49107E+11
035900,JYP Ent.,4775,30.00,0.63,4775,4770,107343,510318105,4790,4855,4680,500,34043012,1.62555E+11
024120,KB오토시스,4520,-160.00,-3.42,4520,4500,20595,92617305,4620,4625,4410,500,11500000,51980000000
021320,KCC건설,8670,-140.00,-1.59,8670,8640,11194,97036190,8810,8810,8590,5000,21400000,1.85538E+11
036670,KCI,10650,-1250,-10.50,10650,10600,349462,3804347050,11650,11800,10500,500,11130000,1.18535E+11
068060,KCW,10150,0.00,0.00,0,0,0,0,0,0,0,500,5440000,55216000000
151860,KG ETS,5960,0.00,0.00,5960,5950,247550,1474875800,5960,6040,5750,500,36000000,2.1456E+11
046440,KG모빌리언스,19750,650.00,3.40,19750,19700,338637,6581010400,19300,19850,19000,500,20667135,4.08176E+11
035600,KG이니시스,22550,400.00,1.81,22600,22550,405969,9117976150,22100,23300,21700,500,26580081,5.99381E+11
060720,KH바텍,20900,-1650,-7.32,20950,20900,640505,13758495800,22000,22600,20650,500,20000000,4.18E+11
083470,KJ프리텍,2450,15.00,0.62,2455,2450,56344,134872090,2430,2460,2350,500,19376007,47471217150
122450,KMH,13350,50.00,0.38,13400,13350,80235,1074050850,13200,13650,13150,500,13273926,1.77207E+11
058400,KNN,7650,40.00,0.53,7650,7550,1129,8647800,7600,7660,7600,5000,13242972,1.01309E+11
114450,KPX생명과학,3740,-60.00,-1.58,3780,3740,80269,305394800,3750,3910,3730,500,15000000,56100000000
036030,KTH,10200,150.00,1.49,10200,10150,100725,1020187690,10150,10250,9920,1000,35715022,3.64293E+11
043610,KT뮤직,4000,-190.00,-4.53,4010,4000,348389,1417847205,4125,4205,3970,500,41813833,1.67255E+11
060370,KT서브마린,5020,-50.00,-0.99,5030,5020,131077,660342950,5050,5100,5010,1000,21900000,1.09938E+11
079950,LIG인베니아,3980,-15.00,-0.38,3980,3975,83502,331977590,4050,4090,3885,500,23200000,92336000000
159910,MBK,1560,5.00,0.32,1560,1535,354924,548935405,1565,1605,1485,100,51776540,80771402400
086960,MDS테크,25850,0.00,0.00,25850,25800,123574,3228822200,25700,26750,25250,500,8815608,2.27883E+11
065150,MPK,3450,-60.00,-1.71,3450,3445,727982,2502756465,3420,3505,3340,100,79227380,2.73334E+11
160550,NEW,25200,-650.00,-2.51,25250,25200,66761,1709558700,26050,26250,25000,500,13703053,3.45317E+11
030190,NICE평가정보,9000,-560.00,-5.86,9010,9000,301859,2786169560,9400,9600,9000,500,60714820,5.46433E+11
036490,OCI머티리얼즈,128300,-200.00,-0.16,128300,128100,37635,4812264900,129100,129900,125600,500,10547673,1.35327E+12
024940,PN풍년,4450,-155.00,-3.37,4460,4450,145787,659721340,4435,4675,4435,500,10000000,44500000000
091340,S&K폴리텍,3080,-85.00,-2.69,3080,3075,27433,87187410,3170,3280,3065,500,8356445,25737850600
019550,SBI인베스트먼트,870,-14.00,-1.58,872,870,1200846,1048049729,880,894,850,500,162066575,1.40998E+11
046140,SBS콘텐츠허브,17600,-100.00,-0.56,17600,17550,145828,2539688600,17350,17700,17200,500,21463555,3.77759E+11
099220,SDN,943,0.00,0.00,943,931,90958,85209079,943,965,929,500,29945936,28239017648
040610,SG&G,3350,-90.00,-2.62,3350,3345,216946,725478880,3440,3475,3260,500,34087196,1.14192E+11
049470,SGA,1295,-20.00,-1.52,1295,1290,3124225,3968190750,1260,1325,1225,500,64842867,83971512765
052300,SH 홀딩스,675,-24.00,-3.43,678,675,968544,656157101,698,698,642,500,75174923,50743073025
090730,SIMPAC METALLOY,6180,0.00,0.00,6180,6120,10735,65557290,6100,6200,6050,500,13000000,80340000000
207930,SK1호스팩,2150,-5.00,-0.23,2150,2145,15842,34077340,2155,2160,2135,100,5500000,11825000000
057500,SKC 솔믹스,2210,-30.00,-1.34,2225,2210,97142,213499925,2240,2240,2140,500,43173232,95412842720
178920,SKC코오롱PI,12850,-200.00,-1.53,12850,12800,196457,2558002450,13100,13250,12850,500,29366322,3.77357E+11
033630,SK브로드밴드,4015,0.00,0.00,0,0,0,0,0,0,0,5000,295959087,1.18828E+12
066270,SK컴즈,6370,60.00,0.95,6370,6350,48721,312207210,6480,6560,6350,500,43427530,2.76633E+11
048550,SM C&C,2680,-30.00,-1.11,2685,2680,347000,909047525,2660,2700,2560,500,69532552,1.86347E+11
051980,SNH,1735,-50.00,-2.80,1740,1735,1274260,2203391080,1755,1805,1660,500,18449870,32010524450
036540,STS반도체,4650,-410.00,-8.10,4655,4650,4233007,20335087950,5050,5150,4650,500,69763481,3.244E+11
032540,TJ미디어,3120,-120.00,-3.70,3130,3120,104614,329456730,3220,3275,3060,500,13931609,43466620080
048770,TPC,7010,-360.00,-4.88,7020,7010,83324,594342260,7430,7430,7010,500,12900000,90429000000
057030,YBM시사닷컴,4655,70.00,1.53,4680,4655,80519,381163530,4600,4935,4585,500,16312697,75935604535
040300,YTN,2770,-25.00,-0.89,2780,2770,6478,18061600,2795,2800,2755,1000,42000000,1.1634E+11
051390,YW,3670,-165.00,-4.30,3675,3670,69548,261101040,3810,3885,3665,500,11355368,41674200560
052220,iMBC,5340,140.00,2.69,5340,5330,159438,830282350,5140,5350,5020,500,23000000,1.2282E+11
079940,가비아,5410,-90.00,-1.64,5420,5410,68385,370272800,5500,5500,5380,500,13535684,73228050440
078890,가온미디어,14400,100.00,0.70,14500,14400,325003,4680282650,14100,14700,14000,500,12757292,1.83705E+11
030270,가희,13100,-1700,-11.49,13150,13100,283263,3834146700,14300,15250,12050,5000,1200000,15720000000
192410,감마누,7710,-100.00,-1.28,7740,7710,25249,195015080,7710,7840,7520,500,3610200,27834642000
024840,갑을메탈,420,-4.00,-0.94,420,412,381447,158982244,420,425,410,500,106207480,44607141600
094480,갤럭시아컴즈,6880,-340.00,-4.71,6890,6880,220616,1530144890,7050,7220,6590,500,30888318,2.12512E+11
063080,게임빌,88100,-2700,-2.97,88200,88100,107362,9646120400,89100,92400,86000,500,6522376,5.74621E+11
039240,경남스틸,7440,0.00,0.00,7440,7430,7640,56921230,7510,7510,7430,500,5000000,37200000000
053950,경남제약,8920,-10.00,-0.11,8940,8920,494604,4521431620,9070,9580,8770,500,11230776,1.00179E+11
011040,경동제약,26000,-350.00,-1.33,26050,26000,8340,218671850,26200,26900,25950,1000,13275000,3.4515E+11
139050,경봉,2435,-80.00,-3.18,2440,2435,149139,366220920,2500,2510,2410,500,15723933,38287776855
024910,경창산업,6810,-20.00,-0.29,6810,6800,40479,274414560,6820,6830,6680,500,17560000,1.19584E+11
089890,고려반도체,2795,25.00,0.90,2795,2735,11364,31273840,2770,2885,2700,500,8050032,22499839440
049720,고려신용정보,3935,-20.00,-0.51,3940,3935,32737,127282850,4140,4140,3800,500,14300000,56270500000
014570,고려제약,5470,40.00,0.74,5480,5470,313127,1735307570,5430,5680,5390,500,11000000,60170000000
098460,고영,43300,0.00,0.00,43450,43300,37298,1615510500,43300,43600,42700,500,13587451,5.88337E+11
206660,골든브릿지제2호스팩,2155,-10.00,-0.46,2155,2150,7216,15489620,2180,2180,2140,100,3900000,8404500000
215000,골프존,145200,0.00,0.00,145200,144900,26482,3779251400,145200,145800,137600,500,6275415,9.1119E+11
121440,골프존유원홀딩스,13450,200.00,1.51,13450,13400,169206,2283380800,13200,13650,13100,500,30573654,4.11216E+11
014200,광림,2085,-65.00,-3.02,2085,2080,257421,545464680,2150,2190,2080,1000,19119243,39863621655
026910,광진실업,3525,-40.00,-1.12,3540,3525,47473,168355315,3690,3690,3520,500,6405405,22579052625
090150,광진윈텍,2570,-110.00,-4.10,2570,2545,22131,57571160,2660,2660,2530,500,9658393,24822070010
208710,교보3호스팩,2450,-35.00,-1.41,2470,2450,11476,28359950,2485,2495,2450,100,5100000,12495000000
205100,교보위드스팩,6400,-510.00,-7.38,6670,6400,81266,554344770,6930,7210,6400,100,4200000,26880000000
053270,구영테크,1515,-50.00,-3.19,1520,1515,78791,120142770,1570,1570,1505,500,19794174,29988173610
066620,국보디자인,18500,-700.00,-3.65,18500,18450,55383,1035200050,18700,19250,18300,500,7500000,1.3875E+11
043650,국순당,8180,-120.00,-1.45,8180,8160,227940,1857356830,8190,8330,7970,500,17858304,1.46081E+11
006050,국영지앤엠,1260,-15.00,-1.18,1265,1260,456065,571946090,1250,1280,1235,500,30399633,38303537580
060480,국일신동,2285,-35.00,-1.51,2320,2285,41089,94944290,2320,2345,2285,500,11090000,25340650000
078130,국일제지,2160,-180.00,-7.69,2160,2155,5324704,11663570220,2260,2480,1915,500,20000000,43200000000
019010,그랜드백화점,13000,150.00,1.17,13000,12950,44486,575829900,13000,13350,12600,5000,4820000,62660000000
053260,금강철강,2755,-5.00,-0.18,2755,2750,15686,43707615,2760,2800,2735,500,18720000,51573600000
058370,금성테크,646,0.00,0.00,0,0,0,0,0,0,0,500,44078576,28474760096
130500,금호엔티,3720,200.00,5.68,3740,3720,61645,227343155,3630,3780,3565,500,7000000,26040000000
036190,금화피에스시,51000,0.00,0.00,51200,51000,1159,58955500,50200,51300,50000,500,6000000,3.06E+11
049080,기가레인,6360,90.00,1.44,6360,6350,166125,1043234660,6270,6430,6040,500,17704421,1.126E+11
035460,기산텔레콤,2630,-75.00,-2.77,2650,2630,153900,412291075,2665,2775,2630,500,14337340,37707204200
187790,나노,3180,-160.00,-4.79,3180,3155,172705,552334070,3395,3395,3140,100,22284935,70866093300
151910,나노스,9700,300.00,3.19,9700,9690,54886,526534280,9350,9750,9230,500,12065263,1.17033E+11
121600,나노신소재,27350,-200.00,-0.73,27600,27350,147206,3990181700,27550,28150,26300,500,7232222,1.97801E+11
