종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가(원),상장주식수(주),상장시가총액(원)
068400,AJ렌터카,14300,-300.00,-2.05,14350,14300,184206,2646042200,14500,14750,14000,500,22146300,3.16692E+11
006840,AK홀딩스,76400,-2500,-3.17,76500,76400,74131,5683048900,78700,78700,75200,5000,13247561,1.01211E+12
027410,BGF리테일,147000,-500.00,-0.34,147500,147000,92606,13715071500,149500,154000,146000,1000,24640080,3.62209E+12
138930,BNK금융지주,14150,-150.00,-1.05,14200,14150,761392,10773121750,14300,14350,14050,5000,234379899,3.31648E+12
001460,BYC,394500,1500,0.38,400000,394500,266,104918500,387500,407500,387000,5000,624615,2.46411E+11
001040,CJ,253500,3000,1.20,253500,253000,54492,13709553000,249000,255000,246500,5000,29116327,7.38099E+12
079160,CJ CGV,111500,2500,2.29,112000,111500,269413,30182066000,109500,117500,106000,500,21161313,2.35949E+12
000120,CJ대한통운,174000,-4000,-2.25,174500,174000,88772,14284816000,175000,178000,170000,5000,22812344,3.96935E+12
011150,CJ씨푸드,3195,25.00,0.79,3195,3190,237836,760442165,3190,3250,3120,500,35930773,1.14799E+11
097950,CJ제일제당,404000,2500,0.62,404000,403000,51160,20537915500,401500,405000,396500,5000,13153298,5.31393E+12
037560,CJ헬로비전,12450,0.00,0.00,12500,12450,242963,3000810350,12450,12700,12100,2500,77446865,9.64213E+11
000590,CS홀딩스,84300,-2700,-3.10,84300,83100,1988,166424000,87000,87000,83000,5000,1154482,97322832600
139130,DGB금융지주,12200,0.00,0.00,12250,12200,371314,4530846250,12150,12350,12100,5000,169053154,2.06245E+12
004840,DRB동일,14350,-150.00,-1.03,14350,14300,35087,505306600,14350,14650,14200,500,18010000,2.58444E+11
155660,DSR,3585,45.00,1.27,3585,3545,10126,35848345,3540,3600,3510,500,16000000,57360000000
069730,DSR제강,3575,10.00,0.28,3575,3570,22071,78971685,3565,3605,3540,500,14400000,51480000000
017940,E1,70600,-1000,-1.40,70800,70600,2919,206534700,71500,71500,70300,5000,6860000,4.84316E+11
007700,F&F,20550,-350.00,-1.67,20650,20550,40050,834420850,20600,21300,20450,500,15400000,3.1647E+11
114090,GKL,38850,-950.00,-2.39,38950,38850,161923,6324207550,39800,40000,38500,500,61855670,2.40309E+12
078930,GS,48750,200.00,0.41,48800,48750,237616,11678951800,48550,49700,48200,5000,92915378,4.52962E+12
006360,GS건설,27400,0.00,0.00,27500,27400,430658,11839109300,27650,28050,27100,5000,71000000,1.9454E+12
001250,GS글로벌,7630,-120.00,-1.55,7630,7620,60146,461758670,7680,7840,7600,2500,22533764,1.71933E+11
007070,GS리테일,40800,800.00,2.00,41200,40800,237563,9819199000,39700,42600,39700,1000,77000000,3.1416E+12
035000,GⅡR,10550,150.00,1.44,10550,10500,73002,742600850,10700,10700,9950,1000,16567409,1.74786E+11
001500,HMC투자증권,11250,-300.00,-2.60,11250,11200,61047,691259950,11500,11550,11200,5000,29337111,3.30042E+11
011420,IB월드와이드,2400,10.00,0.42,2400,2395,308973,761187485,2490,2640,2260,500,19622424,47093817600
003560,IHQ,2555,-25.00,-0.97,2560,2555,391156,1013652800,2550,2675,2550,500,143309751,3.66156E+11
175330,JB금융지주,6680,10.00,0.15,6680,6670,408508,2716148670,6610,6690,6580,5000,126503947,8.45046E+11
001060,JW중외제약,36750,700.00,1.94,36800,36750,609406,22257027400,35650,37900,34400,2500,17850932,6.56022E+11
096760,JW홀딩스,7510,10.00,0.13,7510,7500,398494,2963449570,7700,7700,7120,500,56619991,4.25216E+11
105560,KB금융,38150,-900.00,-2.30,38200,38150,752009,28820180350,38400,38650,38150,5000,386351693,1.47393E+13
002380,KCC,461000,-22000,-4.55,461000,460500,52636,24691610500,474500,485000,460000,5000,10520000,4.84972E+12
009070,KCTC,3480,-15.00,-0.43,3480,3470,28216,97481115,3435,3545,3420,500,30000000,1.044E+11
009440,KC그린홀딩스,10700,-700.00,-6.14,10700,10650,517444,5639869900,11400,11500,10550,500,22434980,2.40054E+11
119650,KC코트렐,8830,-240.00,-2.65,8890,8830,34048,303262130,9070,9070,8800,500,10000000,88300000000
092220,KEC,1400,15.00,1.08,1405,1400,636634,893524795,1385,1415,1380,500,59047384,82666337600
109070,KGP,2265,-85.00,-3.62,2280,2265,172939,395650920,2430,2450,2200,500,37356857,84613281105
001390,KG케미칼,19850,50.00,0.25,19850,19800,73396,1463833450,19550,20350,19550,5000,11338117,2.25062E+11
001940,KISCO홀딩스,63800,1300,2.08,63800,63700,3285,210166200,62000,65500,61500,5000,3695276,2.35759E+11
083420,KPX그린케미칼,5010,0.00,0.00,5030,5010,10844,54539750,5080,5090,5000,500,20000000,1.002E+11
025000,KPX케미칼,56800,-2200,-3.73,57100,56800,3088,177144200,59500,59500,56800,5000,4840000,2.74912E+11
092230,KPX홀딩스,79000,-100.00,-0.13,79000,77500,4052,313717800,79100,81000,76800,5000,4224646,3.33747E+11
000040,KR모터스,1070,-55.00,-4.89,1075,1070,1576622,1708323595,1130,1130,1060,500,175307764,1.87579E+11
044450,KSS해운,17900,-150.00,-0.83,17950,17900,11342,202700650,18050,18050,17650,500,11592940,2.07514E+11
030200,KT,29250,50.00,0.17,29300,29250,447517,13096258800,29200,29450,29150,5000,261111808,7.63752E+12
033780,KT&G,93700,400.00,0.43,93700,93600,117376,11016304800,93500,94600,93300,5000,137292497,1.28643E+13
030210,KTB투자증권,3160,-90.00,-2.77,3170,3160,664210,2136244065,3250,3300,3160,5000,60314092,1.90593E+11
058850,KTcs,3860,-40.00,-1.03,3895,3860,182511,708266970,3895,3920,3850,500,42685000,1.64764E+11
093050,LF,31000,-650.00,-2.05,31050,31000,61983,1934882200,31700,32000,30750,5000,29240000,9.0644E+11
003550,LG,59700,-700.00,-1.16,59700,59500,224728,13392710700,59500,60500,59200,5000,172557131,1.03017E+13
034220,LG디스플레이,27200,450.00,1.68,27200,27150,1569497,42823396100,26800,27550,26750,5000,357815700,9.73259E+12
001120,LG상사,38800,-250.00,-0.64,38900,38800,122577,4760575750,38800,39500,38350,5000,38760000,1.50389E+12
068870,LG생명과학,57700,-2000,-3.35,57800,57700,176993,10343205400,58700,59900,57000,5000,16576990,9.56492E+11
051900,LG생활건강,690000,-31000,-4.30,692000,690000,172123,1.17191E+11,714000,714000,671000,5000,15618197,1.07766E+13
032640,LG유플러스,9410,-140.00,-1.47,9410,9400,1169493,11094400620,9560,9720,9400,5000,436611361,4.10851E+12
011070,LG이노텍,104000,500.00,0.48,104000,103500,149551,15417781500,102500,104000,101000,5000,23667107,2.46138E+12
066570,LG전자,51700,-200.00,-0.39,51800,51700,529316,27364196800,51600,52200,51000,5000,163647814,8.46059E+12
108670,LG하우시스,136500,-6500,-4.55,137500,136500,62927,8729935000,140500,141500,136500,5000,8967670,1.22409E+12
051910,LG화학,261500,-500.00,-0.19,261500,261000,78232,20446140500,257000,264500,253000,5000,66271100,1.73299E+13
002550,LIG손해보험,26100,150.00,0.58,26100,26050,341858,8992956500,26000,26600,25550,500,60000000,1.566E+12
006260,LS,44850,-450.00,-0.99,44950,44850,78190,3499711650,44600,45200,44550,5000,32200000,1.44417E+12
000680,LS네트웍스,4140,-40.00,-0.96,4140,4130,23387,96355615,4180,4180,4100,5000,77828880,3.22212E+11
010120,LS산전,48000,-100.00,-0.21,48000,47950,44555,2145607550,47700,48650,47700,5000,30000000,1.44E+12
023150,MH에탄올,12000,0.00,0.00,12050,12000,159245,1889288200,11700,12150,11450,500,7378526,88542312000
035420,NAVER,627000,26000,4.33,628000,627000,330737,2.04915E+11,607000,628000,607000,500,32962679,2.06676E+13
181710,NHN엔터테인먼트,54300,-2700,-4.74,54400,54300,264252,14576538700,56700,57200,53900,500,19565025,1.06238E+12
005940,NH투자증권,11950,-200.00,-1.65,12000,11950,1677480,20164304600,12050,12400,11850,5000,281408887,3.36284E+12
034310,NICE,20100,-500.00,-2.43,20250,20100,44766,900425400,20600,20600,19750,500,37882300,7.61434E+11
008260,NI스틸,2340,10.00,0.43,2340,2330,66215,153888255,2355,2355,2300,500,28426850,66518829000
004250,NPC,6230,-160.00,-2.50,6230,6180,34293,212828330,6360,6440,6170,500,36720000,2.28766E+11
010060,OCI,86600,-400.00,-0.46,86700,86600,141501,12328314200,85900,88800,84700,5000,23849371,2.06536E+12
005490,POSCO,226000,1000,0.44,226000,225500,110721,24856913500,224500,226000,221000,5000,87186835,1.97042E+13
100840,S&TC,22800,-550.00,-2.36,22900,22800,21022,482850150,23250,23550,22800,500,7084612,1.61529E+11
064960,S&T모티브,64400,-400.00,-0.62,64800,64400,17846,1152008200,64800,65300,63500,5000,14403386,9.27578E+11
003570,S&T중공업,14350,0.00,0.00,14350,14250,58630,837656900,14350,14500,14050,2500,32473439,4.65994E+11
